"Tipo de actividad","Duración","%"
"Salud","358:24","39,38"
"Dormir","291:03","31,98"
"Tiempo en pareja","54:23","5,98"
"Cepillar dientes","03:54","0,43"
"Bañarse","03:53","0,43"
"Médico","03:23","0,37"
"Familia","01:33","0,17"
"Pesarse","00:12","0,02"
"Trabajar","285:42","31,39"
"Transporte","54:56","6,04"
"Transporte público","51:42","5,68"
"Caminar","02:45","0,30"
"Taxi","00:28","0,05"
"Comer","41:08","4,52"
"Leer","37:02","4,07"
"Películas","31:07","3,42"
"Tareas del Hogar","25:10","2,77"
"Cocinar","13:18","1,46"
"Lavar ropa","04:52","0,54"
"Lavar platos","04:23","0,48"
"Limpiar y ordenar","02:36","0,29"
"Internet","15:32","1,71"
"Internet","13:00","1,43"
"Ajedrez","02:31","0,28"
"Orden y visión","15:03","1,66"
"Orden","09:20","1,03"
"Meditar","03:12","0,35"
"Planificar proyecto","02:23","0,26"
"Ordenar fotos","00:06","0,01"
"Sociales","12:00","1,32"
"Ejercicio","09:51","1,08"
"Gimnasio","09:27","1,04"
"Rutina mantenimiento suelo","00:24","0,04"
"Leer Papers","06:13","0,68"
"Programar","05:32","0,61"
"Entretenimiento","04:08","0,46"
"Supermercado","03:58","0,44"
"Writing","03:53","0,43"
"Learning","00:26","0,05"
"Total","910:13","100,00"